observation_date,WPU057303
2011-10-01,310.600
2011-11-01,337.100
2011-12-01,311.000
2012-01-01,322.000
2012-02-01,329.200
2012-03-01,344.300
2012-04-01,339.400
2012-05-01,325.800
2012-06-01,295.400
2012-07-01,298.700
2012-08-01,324.100
2012-09-01,342.400
2012-10-01,351.000
2012-11-01,323.800
2012-12-01,317.400
2013-01-01,318.900
2013-02-01,342.400
2013-03-01,321.000
2013-04-01,318.300
2013-05-01,307.700
2013-06-01,304.800
2013-07-01,311.600
2013-08-01,319.300
2013-09-01,328.000
2013-10-01,318.400
2013-11-01,307.000
2013-12-01,314.700
2014-01-01,308.500
2014-02-01,322.000
2014-03-01,318.100
2014-04-01,318.700
2014-05-01,316.500
2014-06-01,308.800
2014-07-01,307.800
2014-08-01,306.900
2014-09-01,302.300
2014-10-01,283.400
2014-11-01,272.300
2014-12-01,229.900
2015-01-01,182.600
2015-02-01,191.500
2015-03-01,193.100
2015-04-01,183.800
2015-05-01,202.600
2015-06-01,198.700
2015-07-01,194.000
2015-08-01,189.200
2015-09-01,169.400
2015-10-01,173.500
2015-11-01,167.400
2015-12-01,130.800
2016-01-01,119.200
2016-02-01,113.400
2016-03-01,119.400
2016-04-01,123.600
2016-05-01,144.400
2016-06-01,155.400
2016-07-01,157.600
2016-08-01,149.800
2016-09-01,163.100
2016-10-01,159.700
2016-11-01,157.000
2016-12-01,158.800
2017-01-01,161.100
2017-02-01,163.500
2017-03-01,161.300
2017-04-01,162.900
2017-05-01,173.600
2017-06-01,171.500
2017-07-01,179.600
2017-08-01,188.900
2017-09-01,204.200
2017-10-01,213.500
2017-11-01,223.700
2017-12-01,223.800
2018-01-01,229.400
2018-02-01,226.500
2018-03-01,224.800
2018-04-01,231.800
2018-05-01,251.100
2018-06-01,261.400
2018-07-01,256.900
2018-08-01,254.300
2018-09-01,262.500
2018-10-01,271.700
2018-11-01,264.800
2018-12-01,232.700
2019-01-01,201.100
2019-02-01,218.300
2019-03-01,239.300
2019-04-01,237.700
2019-05-01,235.000
2019-06-01,204.400
2019-07-01,220.000
2019-08-01,207.200
2019-09-01,218.400
2019-10-01,220.500
2019-11-01,223.100
2019-12-01,231.100
2020-01-01,214.500
2020-02-01,193.300
2020-03-01,169.700
2020-04-01,123.600
2020-05-01,108.300
2020-06-01,137.800
2020-07-01,179.200
2020-08-01,191.000
2020-09-01,177.500
2020-10-01,187.300
2020-11-01,201.100
2020-12-01,224.600
2021-01-01,232.900
2021-02-01,264.400
2021-03-01,304.100
2021-04-01,282.000
2021-05-01,318.800
2021-06-01,317.800
2021-07-01,326.966
2021-08-01,322.279
2021-09-01,334.175
2021-10-01,374.107
2021-11-01,366.731
2021-12-01,346.234
2022-01-01,365.449
2022-02-01,415.354
2022-03-01,503.052
2022-04-01,528.256
2022-05-01,587.939
2022-06-01,665.720
2022-07-01,568.603
2022-08-01,497.425
2022-09-01,548.658
2022-10-01,605.641
2022-11-01,585.306
2022-12-01,419.191
2023-01-01,449.169
2023-02-01,435.578
2023-03-01,406.306
2023-04-01,387.167
2023-05-01,363.260
2023-06-01,342.988
2023-07-01,322.199
2023-08-01,428.045
2023-09-01,446.947
2023-10-01,407.772
2023-11-01,393.711
2023-12-01,342.052
2024-01-01,327.029
2024-02-01,383.570
2024-03-01,384.276
2024-04-01,395.872
2024-05-01,319.052
2024-06-01,306.904
2024-07-01,342.037
2024-08-01,334.785
2024-09-01,289.007
2024-10-01,318.340
2024-11-01,311.919
2024-12-01,294.577
2025-01-01,305.530
2025-02-01,312.948
2025-03-01,290.379
2025-04-01,287.438
2025-05-01,288.363
2025-06-01,286.957
2025-07-01,316.858
2025-08-01,307.151
2025-09-01,313.893
2025-10-01,298.930
2025-11-01,331.580
2025-12-01,273.099
2026-01-01,268.152
2026-02-01,322.526
